cod_cns;valor;calorPago;mensagem;nossoNumero;dataVenc;status
17.22-8;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000622;16/02/2017;1
19.23-2;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000623;16/02/2017;1
17.92-1;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000624;16/02/2017;1
19.63-8;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000625;16/02/2017;1
17.73-1;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000626;16/02/2017;0
16.07-1;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000627;16/02/2017;1
19.35-6;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000628;16/02/2017;1
17.88-9;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000629;16/02/2017;0
17.89-7;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000630;16/02/2017;0
16.74-1;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000631;16/02/2017;0
19.26-5;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000632;16/02/2017;1
16.08-9;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000633;16/02/2017;0
36.01-2;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000634;16/02/2017;0
20.87-5;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000635;16/02/2017;1
19.39-8;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000636;16/02/2017;1
16.06-3;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000637;16/02/2017;1
15.68-5;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000638;16/02/2017;1
17.84-8;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000639;16/02/2017;1
19.65-3;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000640;16/02/2017;1
19.18-2;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000641;16/02/2017;0
15.83-4;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000642;16/02/2017;0
19.68-7;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000643;16/02/2017;1
19.44-8;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000644;16/02/2017;1
147.26-4;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000645;16/02/2017;0
15.57-8;150.00;150.00;Contribuição ref. Janeiro de 2017;10000000646;16/02/2017;1
156.28-1;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000647;16/02/2017;1
20.23-0;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000648;16/02/2017;0
17.80-6;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000649;16/02/2017;0
20.33-9;100.00;100.00;Contribuição ref. Janeiro de 2017;10000000650;16/02/2017;1
15.98-2;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000651;16/02/2017;1
17.83-0;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000652;16/02/2017;1
17.95-4;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000653;16/02/2017;1
18.04-4;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000654;16/02/2017;0
19.30-7;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000655;16/02/2017;1
17.62-4;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000656;16/02/2017;1
19.24-0;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000657;16/02/2017;1
15.72-7;150.00;150.00;Contribuição ref. Janeiro de 2017;10000000658;16/02/2017;1
15.66-9;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000659;16/02/2017;1
20.36-2;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000660;16/02/2017;1
20.67-7;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000661;16/02/2017;1
19.99-2;300.00;300.00;Contribuição ref. Janeiro de 2017;10000000662;16/02/2017;1
15.61-0;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000663;16/02/2017;1
20.38-8;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000664;16/02/2017;1
19.46-3;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000665;16/02/2017;1
19.17-4;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000666;16/02/2017;1
15.64-4;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000667;16/02/2017;1
15.75-0;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000668;16/02/2017;1
15.53-7;150.00;150.00;Contribuição ref. Janeiro de 2017;10000000669;16/02/2017;1
20.71-9;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000670;16/02/2017;1
15.76-8;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000671;16/02/2017;1
16.02-2;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000672;16/02/2017;0
137.08-3;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000673;16/02/2017;0
15.58-6;150.00;150.00;Contribuição ref. Janeiro de 2017;10000000674;16/02/2017;1
15.51-1;150.00;150.00;Contribuição ref. Janeiro de 2017;10000000675;16/02/2017;1
157.76-8;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000676;16/02/2017;1
17.63-2;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000677;16/02/2017;1
137.69-5;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000678;16/02/2017;1
15.73-5;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000679;16/02/2017;1
20.41-2;400.00;0.00;Contribuição ref. Janeiro de 2017;10000000680;16/02/2017;0
17.96-2;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000681;16/02/2017;1
16.41-0;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000682;16/02/2017;1
;150.00;150.00;Contribuição ref. Janeiro de 2017;10000000683;16/02/2017;1
15.71-9;400.00;400.00;Contribuição ref. Janeiro de 2017;10000000684;16/02/2017;1
17.78-0;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000685;16/02/2017;1
16.01-4;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000686;16/02/2017;1
20.43-8;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000687;16/02/2017;1
19.70-3;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000688;16/02/2017;1
19.22-4;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000689;16/02/2017;1
17.79-8;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000690;16/02/2017;1
17.67-3;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000691;16/02/2017;1
20.44-6;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000692;16/02/2017;1
17.81-4;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000693;16/02/2017;1
17.91-3;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000694;16/02/2017;0
16.23-8;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000695;16/02/2017;0
16.39-4;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000696;16/02/2017;1
17.71-5;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000697;16/02/2017;1
16.35-2;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000698;16/02/2017;1
20.46-1;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000699;16/02/2017;1
20.32-1;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000700;16/02/2017;1
17.24-4;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000701;16/02/2017;1
16.09-7;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000702;16/02/2017;1
20.62-8;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000703;16/02/2017;1
17.59-0;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000704;16/02/2017;1
17.76-4;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000705;16/02/2017;1
19.48-9;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000706;16/02/2017;1
20.16-4;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000707;16/02/2017;1
20.88-3;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000708;16/02/2017;0
17.82-2;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000709;16/02/2017;1
19.33-1;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000710;16/02/2017;1
20.47-9;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000711;16/02/2017;1
15.59-4;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000712;16/02/2017;1
20.48-7;150.00;150.00;Contribuição ref. Janeiro de 2017;10000000713;16/02/2017;1
20.49-5;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000714;16/02/2017;1
17.68-1;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000715;16/02/2017;0
16.00-6;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000716;16/02/2017;1
135.89-7;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000717;16/02/2017;1
19.52-1;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000718;16/02/2017;1
16.32-9;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000719;16/02/2017;1
20.86-7;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000720;16/02/2017;1
20.51-1;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000721;16/02/2017;1
20.19-8;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000722;16/02/2017;1
19.43-0;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000723;16/02/2017;1
15.69-3;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000724;16/02/2017;1
79.01-2;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000725;16/02/2017;1
15.99-0;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000726;16/02/2017;1
15.63-6;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000727;16/02/2017;0
16.10-5;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000728;16/02/2017;1
15.60-2;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000729;16/02/2017;1
17.85-5;100.00;100.00;Contribuição ref. Janeiro de 2017;10000000730;16/02/2017;1
19.60-4;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000731;16/02/2017;1
16.20-4;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000732;16/02/2017;0
121.00-4;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000733;16/02/2017;1
17.75-6;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000734;16/02/2017;1
17.60-8;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000735;16/02/2017;0
;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000736;16/02/2017;0
20.74-3;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000737;16/02/2017;0
20.17-2;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000738;16/02/2017;1
20.17-2;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000739;16/02/2017;1
16.60-0;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000740;16/02/2017;0
15.70-1;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000741;16/02/2017;1
17.72-3;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000742;16/02/2017;1
15.67-7;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000743;16/02/2017;1
16.33-7;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000744;16/02/2017;0
19.97-6;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000745;16/02/2017;1
17.86-3;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000746;16/02/2017;1
19.76-0;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000747;16/02/2017;1
19.31-5;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000748;16/02/2017;1
17.41-8;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000749;16/02/2017;0
17.90-5;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000750;16/02/2017;1
15.74-3;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000751;16/02/2017;1
137.59-6;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000752;16/02/2017;1
20.91-7;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000753;16/02/2017;1
20.92-5;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000754;16/02/2017;1
;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000755;16/02/2017;1
20.93-3;50.00;50.00;Contribuição ref. Janeiro de 2017;10000011796;0000-00-00;1
182.32-9;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000757;16/02/2017;1
19.49-7;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000758;16/02/2017;1
15.90-9;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000759;16/02/2017;1
199.43-0;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000760;16/02/2017;1
20.95-8;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000761;16/02/2017;1
20.40-4;400.00;400.00;Contribuição ref Janeiro 2017;10000000762;20/02/2017;1
15.98-2;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000763;16/03/2017;1
17.83-0;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000764;16/03/2017;1
15.59-4;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000765;16/03/2017;1
19.35-6;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000766;16/03/2017;1
19.24-0;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000767;16/03/2017;1
17.92-1;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000768;16/03/2017;1
20.17-2;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000769;16/03/2017;1
147.26-4;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000770;16/03/2017;0
17.85-5;100.00;100.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000771;16/03/2017;1
16.06-3;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000772;16/03/2017;1
15.72-7;150.00;150.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000773;16/03/2017;1
199.43-0;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000774;16/03/2017;1
15.66-9;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000775;16/03/2017;1
20.48-7;150.00;150.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000776;16/03/2017;1
20.36-2;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000777;16/03/2017;1
15.57-8;150.00;150.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000778;16/03/2017;1
16.39-4;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000779;16/03/2017;1
20.67-7;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000780;16/03/2017;1
19.21-6;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000781;16/03/2017;0
16.14-7;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000782;16/03/2017;0
19.99-2;300.00;300.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000783;16/03/2017;1
15.61-0;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000784;16/03/2017;1
20.88-3;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000785;16/03/2017;0
19.97-6;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000786;16/03/2017;1
19.30-7;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000787;16/03/2017;1
20.38-8;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000788;16/03/2017;1
16.12-1;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000789;16/03/2017;0
20.17-2;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000790;16/03/2017;1
19.63-8;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000791;16/03/2017;1
15.70-1;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000792;16/03/2017;1
19.36-4;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000793;16/03/2017;1
20.07-3;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000794;16/03/2017;0
19.46-3;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000795;16/03/2017;1
20.47-9;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000796;16/03/2017;1
20.40-4;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000797;16/03/2017;1
19.17-4;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000798;16/03/2017;1
121.00-4;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000799;16/03/2017;0
17.60-8;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000800;16/03/2017;0
19.60-4;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000801;16/03/2017;1
;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000802;16/03/2017;1
19.96-8;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000803;16/03/2017;0
18.04-4;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000804;16/03/2017;0
19.76-0;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000805;16/03/2017;1
19.44-8;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000806;16/03/2017;1
16.20-4;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000807;16/03/2017;0
17.67-3;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000808;16/03/2017;1
19.18-2;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000809;16/03/2017;0
17.84-8;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000810;16/03/2017;1
16.35-2;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000811;16/03/2017;1
19.48-9;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000812;16/03/2017;1
15.64-4;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000813;16/03/2017;1
20.44-6;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000814;16/03/2017;1
17.88-9;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000815;16/03/2017;1
19.53-9;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000816;16/03/2017;0
17.59-0;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000817;16/03/2017;1
19.25-7;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000818;16/03/2017;0
19.70-3;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000819;16/03/2017;1
16.09-7;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000820;16/03/2017;1
16.01-4;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000821;16/03/2017;1
79.01-2;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000822;16/03/2017;1
16.33-7;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000823;16/03/2017;0
20.51-1;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000824;16/03/2017;0
19.33-1;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000825;16/03/2017;1
17.76-4;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000826;16/03/2017;1
15.90-9;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000827;16/03/2017;1
15.75-0;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000828;16/03/2017;1
17.24-4;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000829;16/03/2017;1
16.23-8;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000830;16/03/2017;0
19.39-8;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000831;16/03/2017;1
20.19-8;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000832;16/03/2017;1
16.10-5;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000833;16/03/2017;1
17.90-5;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000834;16/03/2017;1
20.86-7;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000835;16/03/2017;1
15.53-7;150.00;150.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000836;16/03/2017;1
150.00-3;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000837;16/03/2017;0
17.86-3;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000838;16/03/2017;1
17.62-4;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000839;16/03/2017;1
28.34-0;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000840;16/03/2017;1
20.49-5;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000841;16/03/2017;1
135.89-7;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000842;16/03/2017;1
20.93-3;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000011799;0000-00-00;1
19.52-1;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000844;16/03/2017;1
163.78-2;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000845;16/03/2017;1
17.71-5;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000846;16/03/2017;1
17.89-7;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000847;16/03/2017;0
17.79-8;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000848;16/03/2017;1
16.00-6;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000849;16/03/2017;1
20.71-9;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000850;16/03/2017;1
15.76-8;400.00;400.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000851;16/03/2017;1
15.63-6;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000852;16/03/2017;0
17.81-4;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000853;16/03/2017;0
19.26-5;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000854;16/03/2017;1
17.64-0;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000855;16/03/2017;0
17.68-1;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000856;16/03/2017;0
15.74-3;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000857;16/03/2017;1
17.78-0;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000858;16/03/2017;1
16.60-0;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000859;16/03/2017;0
16.15-4;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000860;16/03/2017;1
16.02-2;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000861;16/03/2017;0
16.08-9;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000862;16/03/2017;0
17.82-2;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000863;16/03/2017;1
137.59-6;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000864;16/03/2017;1
19.67-9;70.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000865;16/03/2017;0
15.60-2;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000866;16/03/2017;1
19.43-0;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000867;16/03/2017;1
16.21-2;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000868;16/03/2017;1
15.68-5;70.00;70.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000869;16/03/2017;1
137.08-3;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000870;16/03/2017;0
15.58-6;150.00;150.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000871;16/03/2017;1
20.43-8;50.00;50.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000872;16/03/2017;1
17.73-1;50.00;0.00;CONTRIBUIÇÃO REF. FEVEREIRO 2017;10000000873;16/03/2017;0
