entrancia_id;regioes_id;contrib_id;tabeliao_id;substituto_id;cnpj;naoCNPJ;cei;codTJ;codCNJ;;nome;nomeFantasia;nomeResumido;endCep;arrAtividades;endNumero;endCidade;telefone1;telefone2;telefone2_whatsapp;email;endLogradouro;endBairro;formaCobranca;ativo;altUsuario;cadAnalise;encontradoTJ;emAcordo;retencaoTJ;pgRetencaoTJ
20;40;1;14;;41.340.100/0000-00;1;;57011;17.34-3;;CARTORIO 1º OFÍCIO REG. CIVIL;AIUABA - CARTORIO 1º OFÍCIO REG. CIVIL - CARTÓRIO ARRAIS ALBUQUERQUE;AIUABA - CARTORIO 1º OFÍCIO REG. CIVIL - CARTÓRIO FEITOSA;27;27;;2300408;(88) 9 9996-6753;;0;1oficioaiuaba@gmail.com;RUA ALCANTARA ANDRADE, 117;CENTRO;2;Sim;8;0;1;0;1;1
20;40;7;15;;5.717.050/0000-00;1;;57012;17.73-1;;CARTÓRIO 2º OFÍCIO REG. IMÓVEIS;AIUABA - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO NOCRATO;AIUABA - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO NOCRATO;25;25;230;2300408;(88) 3524-1229;(88) 9 9441-2197;1;cartorionocrato@hotmail.com;RUA ARMANDO ARRAIS FEITOSA;BOA VISTA;2;Sim;11;0;1;0;0;1
20;43;1;16;;2.362.380/0000-00;1;;173002;16.69-1;;CARTÓRIO OFÍCIO DE NOTAS E REGISTROS;ALCANTARAS - CARTÓRIO OFÍCIO DE NOTAS E REGISTROS;ALCANTARAS - CARTÓRIO OFÍCIO DE NOTAS E REGISTROS;21;21;;2300507;(88) 3640-1008;;0;cartorioalcantaras@hotmail.com;RUA ROBERTO XIMENES;CENTRO;2;Sim;9;0;1;0;1;1
20;19;1;666;;2.952.910/0000-00;1;;164002;135.88-9;;CARTÓRIO NOTAS E REGISTROS;ALTANEIRA - CARTÓRIO NOTAS E REGISTROS;ALTANEIRA - CARTÓRIO NOTAS E REGISTROS;126,21,27,25,;126,21,27,25,;;2300606;(88) 9 9603-8879;;0;cartorioregisdealtaneira@gmail.com;RUA PADRE AGAMENON COELHO, 421;CENTRO;2;Sim;11;0;1;0;1;1
20;44;7;648;;37.084.100/0000-00;1;;58012;16.07-1;;CARTÓRIO 2º OFÍCIO REG. IMÓVEIS;ALTO SANTO - 2º OFÍCIO REG. IMÓVEIS;ALTO SANTO - 2º OFÍCIO REG. IMÓVEIS;25;25;;2300705;(88) 9 9799-4434;;0;2rialtosanto@gmail.com;RUA CEL. SIMPLICIO BEZERRA, 326;CENTRO;2;Sim;7;0;1;0;0;1
20;44;1;19;;2.138.370/0000-00;1;;58011;18.16-8;;CARTÓRIO 1º OFICIO REGISTRO CIVIL;ALTO SANTO - CARTÓRIO 1º OFICIO REGISTRO CIVIL - CARTÓRIO MAGALHÃES;ALTO SANTO - CARTÓRIO 1º OFICIO REGISTRO CIVIL - CARTÓRIO MAGALHÃES;27;27;;2300705;(88) 3429-1313;;0;helianagmr@hotmail.com;PRAÇA PIO X;CENTRO;2;Sim;9;0;1;0;1;1
20;44;1;20;;2.119.810/0000-00;1;;58013;18.17-6;;CARTORIO REG. CIVIL DIST. CASTANHÃO;ALTO SANTO - CARTORIO REG. CIVIL DIST. CASTANHÃO - CARTÓRIO RABELO;ALTO SANTO - CARTORIO REG. CIVIL DIST. CASTANHÃO - CARTÓRIO RABELO;29;29;;2300705;(88) 9913-0341;;0;sandileuzamartins@hotmail.com;RUA AGAPITO FERREIRA MAIA;CENTRO;2;Sim;9;0;1;0;1;1
20;48;1;667;;19.559.900/0000-00;1;;96004;17.99-6;;CARTORIO REG. CIVIL DE PESSOAS NATURAIS DO DIST. ICARAÍ;AMONTADA - CARTÓRIO DE REGISTRO CIVIL DO DISTRITO DE ICARAÍ;AMONTADA - CARTÓRIO DE REGISTRO CIVIL DO DISTRITO DE ICARAÍ;29;29;;2300754;(88) 9 8188-1933;;0;cartorioicarai1@gmail.com;PRAÇA DOS NAVEGANTES, S/N;CENTRO;2;Sim;8;0;1;0;1;1
20;48;1;668;;18.945.800/0000-00;1;;96003;18.77-0;;CARTORIO REG. CIVIL DO DIST. ARACATIARA;AMONTADA - CARTORIO REG. CIVIL DO DIST. ARACATIARA;AMONTADA - CARTORIO REG. CIVIL DO DIST. ARACATIARA;29;29;;2300754;(88) 9 8149-4260;;0;cartorioaracatiara@outlook.com;DISTRITO DE ARACATIARA, S/N;ZONA RURAL;2;Sim;11;0;1;0;1;0
20;48;1;630;;36.518.400/0000-00;1;;96002;15.92-5;;CARTÓRIO  NOTAS E REGISTRO DE AMONTADA;AMONTADA - OFÍCIO DE NOTAS E REGISTRO;AMONTADA - OFÍCIO DE NOTAS E REGISTRO;21;21;1113;2300754;(88) 3636-1271;(88) 9 8118-8488;0;cartorioamontada@gmail.com;AV. GENERAL ALÍPIO DOS SANTOS, 1113;CENTRO;2;Sim;11;0;1;0;1;0
20;19;7;654;;6.744.400/0000-00;1;;143003;19.21-6;;CARTÓRIO 2º OFÍCIO REG. IMÓVEIS;CARTÓRIO CALHEIROS;ANTONINA DO NORTE - 2º OFÍCIO REG. IMÓVEIS;25;25;;2300804;(88) 9 9607-2389;(88) 9 9607-2389;0;daltonlcalheiros@hotmail.com;Rua Roseno de Matos;CENTRO;2;Sim;8;0;1;0;0;1
20;19;1;625;;36.853.500/0000-00;1;;143002;17.33-5;;CARTORIO 1º OFÍCIO DE REG. CIVIL;ANTONINA DO NORTE - CARTORIO 1º OFÍCIO DE REG. CIVIL;ANTONINA DO NORTE - CARTORIO 1º OFÍCIO DE REG. CIVIL;27;27;;2300804;(88) 3525-1188;;0;1oficioantoninadonorte@gmail.com;AV NELITO MENDES, 404;CENTRO;2;Sim;7;0;1;0;1;1
20;48;1;26;;5.695.360/0000-00;1;;160002;18.02-8;;CARTÓRIO OFÍCIO DE NOTAS E REGISTROS DE APUIARES;APUIARES - CARTÓRIO NOTAS E REGISTRO;APUIARES - CARTÓRIO NOTAS E REGISTRO;21;21;;2300903;(85) 3356-1196;;0;joaoparaibacartorio@hotmail.com;RUA FRANCISCO BERNARDO SOBRINHO;CENTRO;2;Sim;6;0;1;0;1;1
31;53;1;27;;6.622.230/0000-00;1;;33011;15.78-4;;CARTÓRIO 1º OFÍCIO REG. CIVIL;AQUIRAZ - 1º OFÍCIO - CARTÓRIO QUEIROZ;AQUIRAZ - 1º OFÍCIO - CARTÓRIO QUEIROZ;27;27;;2301000;(85) 3 3623-8338;;0;cartorioqueiroz@hotmail.com;RUA VIRGILIO COELHO;CENTRO;2;Sim;6;0;1;0;1;1
31;53;6;28;1;6.621.980/0000-00;1;;33012;19.35-6;;CARTORIO 2º OFÍCIO REG. IMÓVEIS;AQUIRAZ - 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO FLORÊNCIO;AQUIRAZ - 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO FLORÊNCIO;25;25;;2301000;(85) 3361-2021;;0;contato@cartorioflorencio.com.br;RUA VIRGILIO COELHO, 296;CENTRO;2;Sim;6;0;1;0;0;1
31;53;6;29;;2.770.630/0000-00;1;;33021;17.88-9;;CARTORIO 3º OFÍCIO REG. IMÓVEIS;AQUIRAZ - 3º OFÍCIO REG. IMÓVEIS - CARTÓRIO JOAQUIM PEREIRA;AQUIRAZ - 3º OFÍCIO REG. IMÓVEIS - CARTÓRIO JOAQUIM PEREIRA;25;25;;2301000;(85) 3361-1186;;0;cjpceara@yahoo.com.br;RUA VIRGILIO COELHO, 333;CENTRO;2;Sim;6;0;1;0;0;1
31;53;1;30;;23.590.400/0000-00;1;;33013;16.95-6;;CARTORIO REG. CIVIL DIST. DE SERPA;AQUIRAZ - CARTORIO REG. CIVIL DIST. DE SERPA - CARTÓRIO ROCHA;AQUIRAZ - CARTORIO REG. CIVIL DIST. DE SERPA - CARTÓRIO ROCHA;29;29;;2301000;(85) 9 8729-7644;(85) 9929-0739;0;jbonifaciorocha@hotmail.com danrocha18@hotmail.com;BR 116 KM 34 POVOADO CROATÁ II;JUSTINIANO DE SERPA;2;Sim;6;0;1;0;1;1
31;53;1;31;;2.859.430/0000-00;1;;33015;19.55-4;;CARTORIO REG. CIVIL DIST. JACAÚNA;AQUIRAZ - CARTORIO REG. CIVIL DIST. JACAÚNACARTÓRIO - LOURENÇO;AQUIRAZ - CARTORIO REG. CIVIL DIST. JACAÚNACARTÓRIO - LOURENÇO;29;29;;2301000;(85) 8825-8801;;0;maykonkaiky@hotmail.com;RUA CEL OSVALDO STUDART, S/N. LJ 02;CENTRO;2;Sim;6;0;1;0;1;1
31;53;1;669;;;0;;33019;154.16-1;;CARTÓRIO REG. CIVIL DIST. PATACAS;CARTORIO REG. CIVIL DIST. PATACAS;CARTORIO REG. CIVIL DIST. PATACAS;29;29;;2301000;(85) 3361-9204;;0;cartoriopatacas@gmail.com;AV. JOSUÉ LEITE DE FREITAS, S/N;CENTRO;2;Sim;11;0;1;0;1;1
31;53;1;670;;;0;;33020;135.95-4;;CARTÓRIO REG. CIVIL DIST. TAPERA;CARTÓRIO TAPERA;CARTÓRIO TAPERA;29;29;;2301000;(85) 3361-4568;;0;brunoalmeidacp@hotmail.com;RUA JOSE CARLOS GADELHA , S/N;CENTRO;2;Sim;11;0;0;0;1;1
31;58;8;34;;6.578.930/0000-00;1;;2012;16.14-7;;CARTORIO 2º OFÍCIO REG. IMÓVEIS;ARACATI - 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO ALEXANDRE GONDIM;ARACATI - 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO ALEXANDRE GONDIM;25;25;;2301109;(88) 3421-1788;;0;cartorioalexandregondim@gmail.com;RUA CEL. ALEXANDRINO, 744;CENTRO;2;Sim;6;0;1;0;0;1
31;58;6;35;;2.854.160/0000-00;1;;2022;17.89-7;;CARTORIO 3º OFÍCIO REG. IMÓVEIS;ARACATI - 3º OFÍCIO REG. IMÓVEIS - CARTORIO JORGE ALMEIDA;ARACATI - 3º OFÍCIO REG. IMÓVEIS - CARTORIO JORGE ALMEIDA;25;25;;2301109;(88) 3421-3437;;0;cartoriojorgealmeida@hotmail.com;RUA BARAO DE MESSEJANA, 1209;CENTRO;2;Sim;6;0;1;0;0;1
31;58;1;36;;6.578.920/0000-00;1;;2011;15.79-2;;CARTORIO 1º OFÍCIO REG. CIVIL;ARACATI - CARTORIO 1º OFÍCIO REG. CIVIL - CARTÓRIO COSTA LIMA;ARACATI - CARTORIO 1º OFÍCIO REG. CIVIL - CARTÓRIO COSTA LIMA;27;27;;2301109;(88) 3421-6934;;0;costalima01oficio@outlook.com gurgelluciano@hotmail.com;AV.  CORONEL ALEXANZITO;CENTRO;2;Sim;6;0;1;0;1;1
31;58;1;671;;23.554.900/0000-00;1;;2016;15.48-7;;CARTORIO REG. CIVIL DIST. CABREIRO;ARACATI - CARTÓRIO DE REGISTRO CIVIL DE CABREIRO;ARACATI - CARTÓRIO DE REGISTRO CIVIL DE CABREIRO;29;29;;2301109;(85) 3421-3117;;0;suzi_escrevente@hotmail.com;VILA DE CABREIRO, S/N;CABREIRO;2;Sim;11;0;1;0;1;1
31;58;1;38;;2.855.280/0000-00;1;;2021;17.08-7;;CARTÓRIO REG. CIVIL DO DIST. MATA FRESCA;ARACATI - CARTÓRIO REG. CIVIL DO DIST. MATA FRESCA - CARTÓRIO CÍCERO JÚNIOR;ARACATI - CARTÓRIO REG. CIVIL DO DIST. MATA FRESCA - CARTÓRIO CÍCERO JÚNIOR;29;29;;2301109;(88) 3433-4292;;0;cartoriocicerojr@hotmail.com;BR 304 KM 98, S/N;CACIMBA FUNDA;2;Sim;6;0;1;0;1;1
31;23;1;39;;12.459.800/0000-00;1;;59014;18.43-2;;CARTÓRIO REG. CIVIL DO DIST. IDEAL;ARACOIABA - CARTORIO  CARTÓRIO REG. CIVIL DO DIST. IDEAL - MONTENEGRO NOBRE;ARACOIABA - CARTORIO  CARTÓRIO REG. CIVIL DO DIST. IDEAL - MONTENEGRO NOBRE;29;29;;2301208;(85) 3337-3011;;0;rita.montenegro@bol.com.br;AV. JAIME DE SOUSA NOBRE, 188;CENTRO;2;Sim;6;0;1;0;1;1
31;23;7;40;;6.580.200/0000-00;1;;59012;16.74-1;;CARTÓRIO 2º OFÍCIO DE NOTAS E REGISTROS;ARACOIABA - CARTÓRIO 2º OFÍCIO - BRASILEIRO PONTES;ARACOIABA - CARTÓRIO 2º OFÍCIO - BRASILEIRO PONTES;21,25,;21,25,;;2301208;(85) 3337-1252;(85) 9 9944-1134;0;cartoriobrasileiropontes@hotmail.com;RUA SANTOS DUMONT;CENTRO;2;Sim;6;0;1;0;0;1
31;23;1;672;;6.580.200/0000-00;1;;59011;16.80-8;;CARTÓRIO 1º OFÍCIO REGISTRO CIVIL;ARACOIABA - CARTÓRIO DE 1º OFÍCIO DE REGISTRO CIVIL;ARACOIABA - CARTÓRIO DE 1º OFÍCIO DE REGISTRO CIVIL;27;27;;2301208;(85) 3337-1167;;0;trabalhocartorio@hotmail.com;RUA FRANCISCO LUCAS DE MELO;CENTRO;2;Sim;11;0;1;0;1;1
31;23;1;673;;3.313.120/0000-00;1;;59013;18.70-5;;CARTORIO REG. CIVIL DIST. VAZANTES;ARACOIABA - CARTORIO REG. CIVIL DIST. VAZANTES;ARACOIABA - CARTORIO REG. CIVIL DIST. VAZANTES;29;29;;2301208;(85) 3337-4096;;0;meize-oliveira@hotmail.com;RUA DO COMERCIO, S/N;CENTRO;2;Sim;11;0;1;0;1;1
31;40;1;43;;23.718.700/0000-00;1;;139002;18.05-1;;CARTORIO OFÍCIO DE NOTAS E REGISTROS;ARARENDA - CARTORIO OFÍCIO DE NOTAS E REGISTROS;ARARENDA - CARTORIO OFÍCIO DE NOTAS E REGISTROS;21;21;;2301257;(88) 3633-1003;;0;manoel.ostiano@gmail.com;RUA FRANCISCO FERRAZ, 444;CENTRO;2;Sim;6;0;1;0;1;1
31;40;1;674;;;0;;139004;136.64-8;;CARTORIO DO REG. CIVIL DIST. STO ANTONIO;CARTORIO DO REG. CIVIL DIST. STO ANTONIO;CARTORIO DO REG. CIVIL DIST. STO ANTONIO;29;29;;2301257;(88) 9 8155-2252;(88) 9 9748-5773;0;santoantonio139004@yahoo.com;DISTRITO LAGOA DE SANTO ANTONIO, S/N;CENTRO;2;Sim;8;0;1;0;1;1
20;19;1;675;;5.795.260/0000-00;1;;60011;18.15-0;;CARTÓRIO 1º OFÍCIO REGISTRO CIVIL;ARARIPE - CARTÓRIO 1º OFÍCIO REG CIVIL;ARARIPE - CARTÓRIO 1º OFÍCIO REG CIVIL;27;27;;2301307;(88) 3530-1128;(88) 9 9985-6307;0;cartorioararipe@outlook.com;RUA ANTONIO NUNES ALENCAR;CENTRO;2;Sim;11;0;1;0;1;1
20;19;7;46;;5.795.270/0000-00;1;;60012;19.26-5;;CARTÓRIO 2º OFÍCIO REG. IMÓVEIS;ARARIPE - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS;ARARIPE - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS;25;25;;2301307;(88) 3530-1656;;0;cartorio_2imoveisararipe@outlook.com;RUA CEL. MIGUEL ARRAES SOBRINHO, Nº 139;CENTRO;2;Sim;6;0;1;0;0;1
20;23;1;676;;4.728.260/0000-00;1;;97002;16.62-6;;CARTÓRIO OFÍCIO DE NOTAS E REGISTROS;ARATUBA - CARTÓRIO DE NOTAS E REGISTROS - CARTÓRIO ARATUBA;ARATUBA - CARTÓRIO DE NOTAS E REGISTROS - CARTÓRIO ARATUBA;21;21;;2301406;(85) 3329-1128;(85) 9 9737-1128;0;cartorio.aratuba@gmail.com;RUA LUIS GERVASIO COLARES;CENTRO;2;Sim;11;0;1;0;1;1
31;40;1;50;;3.116.490/0000-00;1;;174002;15.86-7;;CARTÓRIO OFICIO DE NOTAS E REGISTROS;ARNEIROZ - CARTÓRIO OFICIO DE NOTAS E REGISTROS - CARTÓRIO PINTO FEITOSA;ARNEIROZ - CARTÓRIO OFICIO DE NOTAS E REGISTROS - CARTÓRIO PINTO FEITOSA;21;21;;2301505;(88) 3419-1048;(88) 9732-4055;0;cartorioarneiroz@hotmail.com;RUA JOAQUIM DE MORAES FEITOSA;CENTRO;2;Sim;11;0;1;0;1;1
20;19;1;677;;5.621.040/0000-00;1;;34011;15.80-0;;CARTÓRIO 1º OFÍCIO REG. CIVIL;ASSARÉ - CARTÓRIO 1º OFÍCIO REG. CIVIL;ASSARÉ - CARTÓRIO 1º OFÍCIO REG. CIVIL;27;27;;2301604;(88) 3535-1895;(88) 9 9333-1546;0;brunoeduardo50@gmail.com;RUA DR. GENTIL BRAGA, 22;CENTRO;2;Sim;11;0;1;0;1;1
20;19;8;678;;5.621.030/0000-00;1;;34012;16.08-9;;CARTORIO 2º OFÍCIO REG. IMÓVEIS;ASSARÉ - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO RODRIGUES PAIVA;ASSARÉ - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO RODRIGUES PAIVA;25;25;;2301604;(88) 3535-1024;(98) 9 8116-7629;0;cartoriorodriguespaiva@yahoo.com.br;RUA PADRE AGAMENON DE MATOS COELHO, 28;CENTRO;2;Sim;11;0;1;0;0;1
20;19;1;53;;10.498.600/0000-00;1;;34016;136.65-5;;CARTORIO REG. CIVIL DIST. AMARO;ASSARÉ - CARTORIO REG. CIVIL DIST. AMARO - CARTÓRIO PALACIO;ASSARÉ - CARTORIO REG. CIVIL DIST. AMARO - CARTÓRIO PALACIO;29;29;;2301604;(88) 3535-2130;;0;cartorioamaro@gmail.com;TRAVESSA ANDREZA, 148;VILA DE AMARO;2;Sim;6;0;1;0;1;1
31;19;1;55;;2.537.150/0000-00;1;;35011;15.62-8;;CARTORIO 1º OFÍCIO REG. CIVIL;AURORA - CARTÓRIO 1º OFÍCIO - CARTÓRIO QUEZADO;AURORA - CARTÓRIO 1º OFÍCIO - CARTÓRIO QUEZADO;27;27;;2301703;(88) 3543-1847;;0;cartorioquezado@hotmail.com;RUA BOA VISTA, 41;CENTRO;2;Sim;6;0;1;0;1;1
31;19;6;56;2;6.749.090/0000-00;1;;35012;19.51-3;;CARTÓRIO 2º OFÍCIO REG. IMÓVEIS;AURORA - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO LEITE;AURORA - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS - CARTÓRIO LEITE;25;25;;2301703;(88) 3543-1124;(88) 9 9904-2898;0;cartorioleite2oficio@yahoo.com.br;AV. SANTOS DUMONT;CENTRO;2;Sim;7;0;1;0;0;1
31;19;1;679;;7.459.970/0000-00;1;;35013;19.11-7;;CARTORIO REG. CIVIL DIST. TIPÍ;AURORA - CARTORIO REG. CIVIL DIST. TIPÍ - CARTORIO MENEZES;AURORA - CARTORIO REG. CIVIL DIST. TIPÍ - CARTORIO MENEZES;29;29;;2301703;(88) 9 9650-2114;;0;cartoriomenezes@hotmail.com;RUA SÃO JOSÉ, S/N. CASA;ZONA RURAL;2;Sim;11;0;1;0;1;1
31;19;1;58;;3.272.920/0000-00;1;;35014;35.01-4;;CARTORIO REG. CIVIL INGAZEIRAS;AURORA - CARTORIO REG. CIVIL INGAZEIRAS - CARTÓRIO GONÇALVES REGISTRO CIVIL;AURORA - CARTORIO REG. CIVIL INGAZEIRAS - CARTÓRIO GONÇALVES REGISTRO CIVIL;29;29;;2301703;(88) 3543-2023;;0;cartoriogoncalves@gmail.com;RUA DO COMÉRCIO, 49;CENTRO;2;Sim;6;0;1;0;1;1
20;19;8;59;;6.736.950/0000-00;1;;150003;150.00-3;;CARTORIO 2º OFÍCIO REG. IMÓVEIS;CARTÓRIO LORENA - 2º OFÍCIO REG. IMÓVEIS;CARTÓRIO LORENA - 2º OFÍCIO REG. IMÓVEIS;25;25;;2301802;(88) 3539-1142;;0;cartoriogipfoficio2@hotmail.com;RUA BETO FARIAS, 79;CENTRO;2;Sim;6;0;1;0;0;1
20;19;1;60;;23.594.000/0000-00;1;;150002;17.47-5;;CARTÓRIO 1º OFÍCIO DE REG. CIVIL;CARTÓRIO REGISTRO CIVIL - 1º OFÍCIO;CARTÓRIO REGISTRO CIVIL - 1º OFÍCIO;27;27;;2301802;(88) 8848-3951;;0;socorrofariascampos@hotmail.com;RUA CHICO PINTO;CENTRO;2;Sim;0;0;0;0;1;1
31;75;1;61;;3.360.500/0000-00;1;;168005;137.83-6;;CARTORIO REG. CIVIL DIST. RINARÉ;CARTÓRIO CUNHA;CARTÓRIO CUNHA;29;29;;2301851;(88) 9 9961-5006;(88) 9 9600-3052;0;;FERROLANDIA, S/N. ZONA RURAL;RINARÉ;2;Sim;11;0;1;0;1;1
